aluno_id,nome_completo,genero,data_nascimento,curso_id,departamento,ano_matricula,estatuto,email_institucional,nacionalidade,regime
A00001,Tomás Jesus,F,2006-01-22,LEI,DETI,2024,Ativo,a00001@ua.pt,Portugal,Ordinário
A00002,Miguel Pereira,M,1997-08-19,LPE,DEP,2022,Ativo,a00002@ua.pt,Portugal,Ordinário
A00003,André Ferreira,M,1990-12-22,MDS,DETI,2024,Ativo,a00003@ua.pt,Portugal,Ordinário
A00004,Marta Sousa,F,2005-10-20,MDS,DETI,2020,Ativo,a00004@ua.pt,Moçambique,Ordinário
A00005,Beatriz Costa,M,1996-03-27,LEM,DEGEIT,2024,Ativo,a00005@ua.pt,Portugal,Ordinário
A00006,Marta Costa,F,2003-08-31,LF,DF,2021,Ativo,a00006@ua.pt,Portugal,Ordinário
A00007,João Fernandes,M,2007-03-27,LQ,DQ,2020,Ativo,a00007@ua.pt,Portugal,Ordinário
A00008,Rodrigo Moreira,F,2004-09-13,MEC,DETI,2025,Ativo,a00008@ua.pt,Portugal,Ordinário
A00009,Inês Cardoso,M,2003-02-02,LF,DF,2024,Ativo,a00009@ua.pt,Portugal,Ordinário
A00010,Sofia Neves,F,2004-01-28,LEM,DEGEIT,2021,Concluído,a00010@ua.pt,Portugal,Ordinário
A00011,Tiago Rocha,M,2002-05-30,MED,DEP,2019,Ativo,a00011@ua.pt,Portugal,Ordinário
A00012,Ana Jesus,F,1996-08-01,MEC,DETI,2024,Ativo,a00012@ua.pt,Cabo Verde,Ordinário
A00013,Inês Gonçalves,M,2004-05-01,LEM,DEGEIT,2025,Ativo,a00013@ua.pt,Portugal,Ordinário
A00014,Beatriz Sousa,M,2000-12-16,LEI,DETI,2019,Ativo,a00014@ua.pt,Portugal,Ordinário
A00015,Catarina Oliveira,F,2006-06-01,LGT,DEGEIT,2025,Concluído,a00015@ua.pt,Portugal,Ordinário
A00016,Catarina Rodrigues,M,2001-11-01,LPE,DEP,2024,Desistência,a00016@ua.pt,Portugal,Ordinário
A00017,Marta Ferreira,M,2001-08-10,MDS,DETI,2024,Ativo,a00017@ua.pt,Portugal,Ordinário
A00018,João Martins,F,1990-02-28,LQ,DQ,2020,Ativo,a00018@ua.pt,Portugal,Ordinário
A00019,Leonor Rodrigues,F,2001-07-13,MEC,DETI,2022,Ativo,a00019@ua.pt,Portugal,Ordinário
A00020,Pedro Pereira,F,2007-08-07,MTR,DLC,2024,Concluído,a00020@ua.pt,Portugal,Ordinário
A00021,Rodrigo Pereira,M,2000-06-22,MFIN,DEGEIT,2020,Ativo,a00021@ua.pt,Portugal,Ordinário
A00022,Inês Monteiro,F,1994-04-19,LEM,DEGEIT,2021,Ativo,a00022@ua.pt,Portugal,Ordinário
A00023,Catarina Silva,M,2002-05-06,LGT,DEGEIT,2020,Ativo,a00023@ua.pt,Cabo Verde,Trabalhador-Estudante
A00024,André Santos,F,1999-02-12,LQ,DQ,2025,Ativo,a00024@ua.pt,Portugal,Ordinário
A00025,Afonso Rocha,M,2007-08-03,MMKT,DEGEIT,2024,Ativo,a00025@ua.pt,Portugal,Ordinário
A00026,Catarina Santos,M,1994-11-19,LEB,DBIO,2020,Ativo,a00026@ua.pt,Portugal,Ordinário
A00027,Rita Ferreira,F,1991-04-11,MTR,DLC,2025,Ativo,a00027@ua.pt,Portugal,Ordinário
A00028,João Neves,M,1992-09-09,LQ,DQ,2022,Ativo,a00028@ua.pt,Portugal,Ordinário
A00029,André Oliveira,M,1994-08-01,MEC,DETI,2023,Ativo,a00029@ua.pt,Portugal,Ordinário
A00030,Tomás Pereira,F,1990-03-18,MEC,DETI,2024,Ativo,a00030@ua.pt,Portugal,Ordinário
A00031,Beatriz Sousa,F,1997-10-30,LF,DF,2020,Concluído,a00031@ua.pt,Portugal,Ordinário
A00032,Tiago Oliveira,F,2004-12-24,LMAT,DMAT,2023,Desistência,a00032@ua.pt,Portugal,Trabalhador-Estudante
A00033,Pedro Jesus,M,1996-04-27,LT,DEGEIT,2022,Ativo,a00033@ua.pt,Portugal,Ordinário
A00034,João Silva,F,2004-03-24,MIEEC,DETI,2024,Concluído,a00034@ua.pt,Portugal,Ordinário
A00035,Sofia Rocha,F,2006-08-17,LF,DF,2024,Ativo,a00035@ua.pt,Portugal,Ordinário
A00036,João Sousa,F,1998-04-13,LT,DEGEIT,2021,Ativo,a00036@ua.pt,Portugal,Trabalhador-Estudante
A00037,Beatriz Rocha,M,1994-09-17,MIEEC,DETI,2022,Ativo,a00037@ua.pt,Brasil,Ordinário
A00038,Ana Costa,F,1993-08-24,LT,DEGEIT,2021,Concluído,a00038@ua.pt,Portugal,Ordinário
A00039,Tiago Vieira,F,1995-12-26,MFIN,DEGEIT,2021,Concluído,a00039@ua.pt,Brasil,Ordinário
A00040,Marta Martins,F,2000-04-28,LQ,DQ,2023,Ativo,a00040@ua.pt,Portugal,Ordinário
A00041,Gonçalo Vieira,M,1991-07-23,MEC,DETI,2022,Ativo,a00041@ua.pt,Portugal,Ordinário
A00042,Luís Santos,F,1992-08-02,MEC,DETI,2022,Ativo,a00042@ua.pt,Portugal,Ordinário
A00043,Tomás Rodrigues,M,2003-08-07,MEC,DETI,2025,Ativo,a00043@ua.pt,Portugal,Ordinário
A00044,Filipa Fernandes,F,1998-03-03,LEI,DETI,2024,Ativo,a00044@ua.pt,Portugal,Ordinário
A00045,Miguel Vieira,M,2001-05-17,LEM,DEGEIT,2023,Ativo,a00045@ua.pt,Portugal,Ordinário
A00046,Rita Neves,M,2004-11-30,LEB,DBIO,2023,Ativo,a00046@ua.pt,Portugal,Ordinário
A00047,Tomás Neves,M,1996-06-08,LEI,DETI,2022,Ativo,a00047@ua.pt,Portugal,Ordinário
A00048,Matilde Costa,F,2001-06-19,MED,DEP,2024,Concluído,a00048@ua.pt,Portugal,Ordinário
A00049,Marta Rodrigues,F,2006-11-06,MEC,DETI,2022,Ativo,a00049@ua.pt,Portugal,Ordinário
A00050,Tomás Rodrigues,F,2000-03-19,MTR,DLC,2024,Concluído,a00050@ua.pt,Portugal,Ordinário
A00051,Tiago Monteiro,F,1993-04-23,MMKT,DEGEIT,2019,Concluído,a00051@ua.pt,Portugal,Ordinário
A00052,Tiago Moreira,F,2002-07-03,MED,DEP,2022,Concluído,a00052@ua.pt,Portugal,Ordinário
A00053,Catarina Moreira,M,2003-09-28,MEC,DETI,2025,Ativo,a00053@ua.pt,Brasil,Ordinário
A00054,Luís Cardoso,M,1995-10-25,MTR,DLC,2022,Concluído,a00054@ua.pt,Portugal,Ordinário
A00055,Miguel Fernandes,F,2006-01-02,MED,DEP,2022,Ativo,a00055@ua.pt,Brasil,Ordinário
A00056,Maria Monteiro,F,1998-08-04,LT,DEGEIT,2021,Ativo,a00056@ua.pt,Portugal,Ordinário
A00057,Tomás Silva,F,1994-08-22,MFIN,DEGEIT,2024,Ativo,a00057@ua.pt,Brasil,Ordinário
A00058,André Monteiro,M,1990-02-18,MMKT,DEGEIT,2023,Ativo,a00058@ua.pt,Portugal,Ordinário
A00059,Ana Vieira,M,1994-12-03,LQ,DQ,2022,Ativo,a00059@ua.pt,Portugal,Ordinário
A00060,Catarina Silva,F,2000-06-25,MMKT,DEGEIT,2021,Desistência,a00060@ua.pt,Angola,Ordinário
A00061,Diogo Costa,F,2004-06-01,LEI,DETI,2024,Ativo,a00061@ua.pt,Portugal,Ordinário
A00062,André Jesus,M,1997-05-01,LEB,DBIO,2023,Concluído,a00062@ua.pt,Portugal,Ordinário
A00063,João Gonçalves,F,2000-07-19,LF,DF,2019,Ativo,a00063@ua.pt,Portugal,Ordinário
A00064,Mariana Oliveira,F,1995-07-19,MIEEC,DETI,2021,Concluído,a00064@ua.pt,Portugal,Ordinário
A00065,Rita Neves,F,2000-06-06,LEM,DEGEIT,2022,Concluído,a00065@ua.pt,Portugal,Ordinário
A00066,Carolina Correia,F,1996-12-23,LEM,DEGEIT,2020,Ativo,a00066@ua.pt,Portugal,Internacional
A00067,Carolina Neves,F,1991-09-15,MMKT,DEGEIT,2022,Ativo,a00067@ua.pt,Portugal,Ordinário
A00068,Maria Cardoso,M,2001-12-13,MIEEC,DETI,2024,Ativo,a00068@ua.pt,Portugal,Ordinário
A00069,Rodrigo Moreira,M,1992-05-14,MFIN,DEGEIT,2024,Desistência,a00069@ua.pt,Portugal,Ordinário
A00070,Tomás Jesus,M,2000-06-05,LF,DF,2024,Concluído,a00070@ua.pt,Portugal,Ordinário
A00071,Tomás Neves,M,2000-02-10,LGT,DEGEIT,2022,Ativo,a00071@ua.pt,Portugal,Ordinário
A00072,Luís Fernandes,M,1994-01-29,MTR,DLC,2025,Ativo,a00072@ua.pt,Portugal,Ordinário
A00073,Matilde Monteiro,F,2001-08-03,LF,DF,2021,Ativo,a00073@ua.pt,Portugal,Ordinário
A00074,Marta Vieira,M,2000-01-20,MTR,DLC,2019,Ativo,a00074@ua.pt,Portugal,Ordinário
A00075,Matilde Rocha,M,2002-06-01,MDS,DETI,2025,Ativo,a00075@ua.pt,Portugal,Ordinário
A00076,Pedro Fernandes,M,1995-08-22,LF,DF,2022,Ativo,a00076@ua.pt,Portugal,Ordinário
A00077,Tomás Cardoso,F,1994-11-08,LPE,DEP,2025,Ativo,a00077@ua.pt,Portugal,Internacional
A00078,Ana Rocha,M,1995-02-07,LEB,DBIO,2023,Ativo,a00078@ua.pt,Portugal,Ordinário
A00079,Leonor Pereira,M,2005-08-23,MIEEC,DETI,2021,Ativo,a00079@ua.pt,Brasil,Ordinário
A00080,João Jesus,M,1999-11-18,MTR,DLC,2023,Ativo,a00080@ua.pt,Espanha,Ordinário
A00081,Filipa Santos,M,2001-01-11,LGT,DEGEIT,2020,Ativo,a00081@ua.pt,Portugal,Ordinário
A00082,Sofia Neves,F,1995-07-27,LMAT,DMAT,2020,Ativo,a00082@ua.pt,Portugal,Ordinário
A00083,Sofia Sousa,M,1999-12-06,MMKT,DEGEIT,2022,Concluído,a00083@ua.pt,Portugal,Ordinário
A00084,Maria Costa,F,2004-01-12,LEM,DEGEIT,2022,Ativo,a00084@ua.pt,Portugal,Ordinário
A00085,Leonor Sousa,F,1999-03-01,LPE,DEP,2024,Ativo,a00085@ua.pt,Portugal,Ordinário
A00086,Rodrigo Correia,M,1991-08-07,LMAT,DMAT,2022,Concluído,a00086@ua.pt,Portugal,Trabalhador-Estudante
A00087,Luís Oliveira,F,2002-03-20,MFIN,DEGEIT,2022,Ativo,a00087@ua.pt,Portugal,Ordinário
A00088,Carolina Vieira,M,1999-11-07,LMAT,DMAT,2021,Ativo,a00088@ua.pt,Espanha,Ordinário
A00089,Matilde Fernandes,M,1991-10-21,MTR,DLC,2020,Concluído,a00089@ua.pt,Portugal,Ordinário
A00090,Rita Almeida,F,2007-02-25,LQ,DQ,2022,Ativo,a00090@ua.pt,Portugal,Ordinário
A00091,Leonor Ferreira,F,2003-02-17,LF,DF,2024,Ativo,a00091@ua.pt,Portugal,Ordinário
A00092,Leonor Sousa,F,1993-08-10,MEC,DETI,2023,Ativo,a00092@ua.pt,Portugal,Ordinário
A00093,Tiago Vieira,M,1991-12-23,MIEEC,DETI,2023,Ativo,a00093@ua.pt,Brasil,Ordinário
A00094,Beatriz Neves,M,1999-04-09,LEI,DETI,2020,Ativo,a00094@ua.pt,Portugal,Ordinário
A00095,Diogo Almeida,F,1995-12-28,MIEEC,DETI,2021,Concluído,a00095@ua.pt,Portugal,Internacional
A00096,Maria Martins,F,1996-12-20,LQ,DQ,2019,Ativo,a00096@ua.pt,Moçambique,Trabalhador-Estudante
A00097,Afonso Sousa,F,2004-07-12,MED,DEP,2021,Ativo,a00097@ua.pt,Portugal,Ordinário
A00098,André Rodrigues,M,1995-06-20,MTR,DLC,2024,Ativo,a00098@ua.pt,Angola,Ordinário
A00099,Gonçalo Jesus,F,1996-03-13,LT,DEGEIT,2024,Ativo,a00099@ua.pt,Brasil,Ordinário
A00100,Beatriz Fernandes,M,1993-05-02,LMAT,DMAT,2024,Ativo,a00100@ua.pt,Portugal,Ordinário
A00101,Marta Monteiro,M,1994-03-26,MED,DEP,2022,Ativo,a00101@ua.pt,Portugal,Ordinário
A00102,João Oliveira,M,2004-11-19,MMKT,DEGEIT,2021,Ativo,a00102@ua.pt,Portugal,Ordinário
A00103,Ana Oliveira,M,1992-03-27,LEM,DEGEIT,2025,Concluído,a00103@ua.pt,Portugal,Ordinário
A00104,Afonso Vieira,F,2000-07-13,LT,DEGEIT,2022,Ativo,a00104@ua.pt,Portugal,Ordinário
A00105,João Neves,M,2004-01-22,MMKT,DEGEIT,2025,Concluído,a00105@ua.pt,Portugal,Ordinário
A00106,Tiago Pereira,F,2006-10-01,LMAT,DMAT,2020,Ativo,a00106@ua.pt,Portugal,Ordinário
A00107,Beatriz Monteiro,F,1997-04-11,LEI,DETI,2020,Ativo,a00107@ua.pt,Portugal,Ordinário
A00108,André Neves,F,1993-12-05,LPE,DEP,2020,Ativo,a00108@ua.pt,Portugal,Ordinário
A00109,Filipa Silva,F,2000-05-05,LT,DEGEIT,2022,Ativo,a00109@ua.pt,Brasil,Ordinário
A00110,Tomás Sousa,F,1991-08-29,LMAT,DMAT,2024,Desistência,a00110@ua.pt,Portugal,Ordinário
A00111,Leonor Pereira,M,1996-10-10,LF,DF,2021,Desistência,a00111@ua.pt,Portugal,Ordinário
A00112,Tomás Santos,M,1990-06-29,LMAT,DMAT,2024,Ativo,a00112@ua.pt,Angola,Ordinário
A00113,Pedro Neves,F,2003-08-14,LMAT,DMAT,2023,Ativo,a00113@ua.pt,Portugal,Ordinário
A00114,Diogo Santos,F,2004-01-28,LT,DEGEIT,2020,Ativo,a00114@ua.pt,Portugal,Ordinário
A00115,Inês Rocha,M,1997-04-30,LGT,DEGEIT,2024,Ativo,a00115@ua.pt,Brasil,Ordinário
A00116,Carolina Fernandes,F,1995-10-07,LF,DF,2025,Desistência,a00116@ua.pt,Portugal,Ordinário
A00117,Matilde Vieira,F,2006-12-01,LGT,DEGEIT,2022,Concluído,a00117@ua.pt,Cabo Verde,Ordinário
A00118,Catarina Pereira,F,2007-09-26,MDS,DETI,2024,Ativo,a00118@ua.pt,Portugal,Ordinário
A00119,Marta Almeida,M,2004-04-27,LF,DF,2023,Ativo,a00119@ua.pt,Portugal,Trabalhador-Estudante
A00120,Diogo Sousa,F,2004-07-11,MEC,DETI,2020,Ativo,a00120@ua.pt,Portugal,Ordinário
A00121,Marta Rocha,F,1996-10-29,MIEEC,DETI,2025,Ativo,a00121@ua.pt,Portugal,Ordinário
A00122,Mariana Monteiro,F,1999-04-22,MFIN,DEGEIT,2020,Concluído,a00122@ua.pt,Espanha,Ordinário
A00123,Beatriz Pereira,F,1999-12-12,MDS,DETI,2024,Desistência,a00123@ua.pt,Moçambique,Ordinário
A00124,Tiago Moreira,F,1998-12-06,MDS,DETI,2022,Ativo,a00124@ua.pt,Portugal,Ordinário
A00125,Inês Correia,F,2007-08-25,LEI,DETI,2023,Ativo,a00125@ua.pt,Portugal,Ordinário
A00126,Mariana Silva,F,1995-03-24,LEB,DBIO,2023,Concluído,a00126@ua.pt,Portugal,Internacional
A00127,Ana Oliveira,M,2007-11-29,LT,DEGEIT,2021,Ativo,a00127@ua.pt,Portugal,Ordinário
A00128,Inês Monteiro,M,1990-05-10,LQ,DQ,2021,Ativo,a00128@ua.pt,Portugal,Ordinário
A00129,Tiago Moreira,M,2007-06-14,MTR,DLC,2023,Ativo,a00129@ua.pt,Portugal,Trabalhador-Estudante
A00130,Leonor Vieira,M,2000-04-10,MIEEC,DETI,2020,Ativo,a00130@ua.pt,Portugal,Ordinário
A00131,Maria Oliveira,F,1991-10-24,MED,DEP,2023,Ativo,a00131@ua.pt,Portugal,Ordinário
A00132,Gonçalo Neves,M,2003-05-26,MEC,DETI,2025,Ativo,a00132@ua.pt,Portugal,Ordinário
A00133,Sofia Fernandes,F,1999-08-25,LEM,DEGEIT,2024,Concluído,a00133@ua.pt,Brasil,Ordinário
A00134,Beatriz Oliveira,M,1999-07-29,LEM,DEGEIT,2023,Ativo,a00134@ua.pt,Portugal,Ordinário
A00135,Matilde Gonçalves,F,1992-02-03,LGT,DEGEIT,2024,Ativo,a00135@ua.pt,Portugal,Ordinário
A00136,Sofia Santos,F,1999-03-20,MEC,DETI,2023,Concluído,a00136@ua.pt,Cabo Verde,Ordinário
A00137,Filipa Almeida,F,2002-12-18,MDS,DETI,2025,Ativo,a00137@ua.pt,Portugal,Ordinário
A00138,Sofia Rocha,F,2007-02-08,MDS,DETI,2022,Ativo,a00138@ua.pt,Cabo Verde,Ordinário
A00139,Carolina Fernandes,M,1990-08-26,LEI,DETI,2021,Ativo,a00139@ua.pt,Portugal,Ordinário
A00140,Ana Ferreira,M,1991-07-25,LT,DEGEIT,2021,Ativo,a00140@ua.pt,Portugal,Ordinário
A00141,Matilde Fernandes,M,1997-08-24,MFIN,DEGEIT,2021,Ativo,a00141@ua.pt,Portugal,Ordinário
A00142,João Ferreira,F,1993-06-28,LGT,DEGEIT,2021,Ativo,a00142@ua.pt,Portugal,Ordinário
A00143,Gonçalo Pereira,M,1999-04-16,MTR,DLC,2022,Ativo,a00143@ua.pt,Portugal,Ordinário
A00144,Mariana Santos,M,1991-01-08,MTR,DLC,2022,Ativo,a00144@ua.pt,Portugal,Ordinário
A00145,Tiago Silva,F,2007-02-21,LEB,DBIO,2022,Ativo,a00145@ua.pt,Portugal,Ordinário
A00146,Filipa Gonçalves,M,2001-12-11,LT,DEGEIT,2022,Ativo,a00146@ua.pt,Portugal,Ordinário
A00147,Miguel Correia,M,1990-06-03,MIEEC,DETI,2024,Concluído,a00147@ua.pt,Portugal,Ordinário
A00148,Miguel Costa,M,1992-08-01,MFIN,DEGEIT,2024,Ativo,a00148@ua.pt,Portugal,Ordinário
A00149,Tomás Vieira,F,1999-10-18,MDS,DETI,2020,Ativo,a00149@ua.pt,Portugal,Ordinário
A00150,Maria Cardoso,M,1994-12-21,LMAT,DMAT,2023,Concluído,a00150@ua.pt,Portugal,Ordinário
A00151,Inês Jesus,M,1997-11-16,LEB,DBIO,2021,Ativo,a00151@ua.pt,Portugal,Ordinário
A00152,Tomás Correia,F,2007-05-03,LGT,DEGEIT,2025,Ativo,a00152@ua.pt,Portugal,Trabalhador-Estudante
A00153,Diogo Sousa,M,1993-05-21,MEC,DETI,2024,Ativo,a00153@ua.pt,Portugal,Ordinário
A00154,João Gonçalves,F,1996-12-17,MDS,DETI,2024,Ativo,a00154@ua.pt,Brasil,Ordinário
A00155,Tomás Rodrigues,M,2000-05-18,LGT,DEGEIT,2020,Ativo,a00155@ua.pt,Portugal,Ordinário
A00156,Miguel Ferreira,F,2000-02-08,LT,DEGEIT,2020,Concluído,a00156@ua.pt,Portugal,Ordinário
A00157,Rita Gonçalves,M,1999-11-09,LQ,DQ,2025,Ativo,a00157@ua.pt,Portugal,Ordinário
A00158,Rodrigo Fernandes,M,2005-03-24,MFIN,DEGEIT,2020,Concluído,a00158@ua.pt,Portugal,Ordinário
A00159,Tomás Oliveira,M,1995-08-27,MMKT,DEGEIT,2021,Ativo,a00159@ua.pt,Angola,Ordinário
A00160,André Fernandes,F,2003-05-07,MMKT,DEGEIT,2020,Ativo,a00160@ua.pt,Portugal,Ordinário
A00161,Carolina Costa,M,2001-05-28,LGT,DEGEIT,2023,Ativo,a00161@ua.pt,Espanha,Ordinário
A00162,Carolina Pereira,F,1995-01-30,MTR,DLC,2021,Ativo,a00162@ua.pt,Portugal,Ordinário
A00163,Inês Costa,M,2007-03-10,MIEEC,DETI,2021,Ativo,a00163@ua.pt,Portugal,Ordinário
A00164,Matilde Martins,M,1990-12-24,LPE,DEP,2024,Ativo,a00164@ua.pt,Cabo Verde,Ordinário
A00165,Leonor Rodrigues,F,2001-12-23,MED,DEP,2022,Ativo,a00165@ua.pt,Portugal,Trabalhador-Estudante
A00166,Gonçalo Cardoso,M,2007-04-05,MED,DEP,2022,Concluído,a00166@ua.pt,Portugal,Ordinário
A00167,Beatriz Rocha,F,1995-08-11,LEB,DBIO,2020,Ativo,a00167@ua.pt,Espanha,Ordinário
A00168,Gonçalo Oliveira,M,1991-11-19,LEM,DEGEIT,2021,Ativo,a00168@ua.pt,Brasil,Ordinário
A00169,André Cardoso,M,1997-11-03,LQ,DQ,2019,Ativo,a00169@ua.pt,Portugal,Ordinário
A00170,Tiago Fernandes,M,1995-01-14,LGT,DEGEIT,2019,Ativo,a00170@ua.pt,Portugal,Ordinário
A00171,Leonor Moreira,M,2005-08-12,LMAT,DMAT,2021,Ativo,a00171@ua.pt,Portugal,Trabalhador-Estudante
A00172,Matilde Neves,M,1994-11-02,LEI,DETI,2021,Ativo,a00172@ua.pt,Portugal,Ordinário
A00173,Sofia Neves,F,1996-10-03,LMAT,DMAT,2021,Ativo,a00173@ua.pt,Portugal,Ordinário
A00174,Afonso Oliveira,F,2004-03-04,MTR,DLC,2025,Ativo,a00174@ua.pt,Portugal,Ordinário
A00175,Filipa Ferreira,F,2002-10-19,MDS,DETI,2024,Ativo,a00175@ua.pt,Portugal,Ordinário
A00176,Beatriz Jesus,M,2000-07-18,LEI,DETI,2020,Ativo,a00176@ua.pt,Portugal,Ordinário
A00177,Matilde Fernandes,M,1995-05-30,LGT,DEGEIT,2020,Concluído,a00177@ua.pt,Portugal,Ordinário
A00178,Leonor Costa,F,2007-06-23,MEC,DETI,2024,Desistência,a00178@ua.pt,Portugal,Ordinário
A00179,Pedro Santos,F,1996-07-31,MED,DEP,2021,Ativo,a00179@ua.pt,Portugal,Ordinário
A00180,Pedro Sousa,M,1995-09-07,MMKT,DEGEIT,2020,Ativo,a00180@ua.pt,Portugal,Ordinário
